coast,1: 15374
bus,yes: 6978
highway,bus_stop: 6959
public_transport,platform: 6892
amenity,parking: 6223
network,Transperth: 5542
network:wikidata,Q1503488: 4910
leisure,swimming_pool: 4510
leisure,pitch: 4316
leisure,park: 4209
access,private: 3390
building,yes: 2774
amenity,parking_space: 2766
amenity,bench: 2292
amenity,bicycle_parking: 2165
parking_space,normal: 2165
parking,surface: 2045
bench,yes: 1908
addr:state,WA: 1774
access,yes: 1677
leisure,playground: 1591
network:wikipedia,en:Transperth: 1585
bicycle_parking,stands: 1559
shelter,yes: 1463
shelter,no: 1443
fee,no: 1396
addr:country,AU: 1299
sport,tennis: 1141
amenity,shelter: 1116
surface,paved: 1094
tactile_paving,yes: 938
amenity,restaurant: 905
amenity,toilets: 897
bench,no: 873
amenity,cafe: 819
tourism,information: 819
amenity,fast_food: 814
bin,no: 802
backrest,yes: 801
access,customers: 769
amenity,waste_basket: 753
location,outdoor: 734
covered,no: 718
bin,yes: 711
amenity,school: 700
leisure,garden: 686
takeaway,yes: 635
lit,no: 629
capacity,1: 625
surface,grass: 621
sport,netball: 612
parking,street_side: 602
amenity,drinking_water: 587
wheelchair,yes: 578
surface,asphalt: 578
lit,yes: 558
material,wood: 538
level,0: 482
public_transport,stop_position: 481
leisure,picnic_table: 476
sport,basketball: 461
religion,christian: 454
capacity,4: 453
shop,supermarket: 450
fee,yes: 428
amenity,fuel: 423
amenity,bbq: 417
access,destination: 413
departures_board,no: 404
capacity,2: 403
swimming_pool,personal: 398
operator,Australia Post: 369
amenity,place_of_worship: 365
information,board: 359
amenity,post_box: 358
backrest,no: 353
sport,cricket: 351
operator:wikidata,Q1142936: 339
shelter_type,picnic_shelter: 336
capacity,6: 332
train,yes: 328
level,1: 316
shop,clothes: 314
material,metal: 308
covered,yes: 298
tactile_paving,no: 297
departures_board,timetable: 294
tourism,artwork: 291
amenity,telephone: 265
shop,alcohol: 248
seats,3: 246
tourism,viewpoint: 239
operator,Transperth: 233
amenity,pub: 232
tourism,picnic_site: 231
information,guidepost: 228
opening_hours,24/7: 219
shop,hairdresser: 219
sport,bowls: 210
capacity,8: 210
sport,soccer: 208
leisure,nature_reserve: 203
layer,1: 203
operator:type,government: 201
outdoor_seating,yes: 201
amenity,pharmacy: 198
healthcare,pharmacy: 193
parking_space,disabled: 193
cuisine,burger: 188
amenity,community_centre: 187
railway,platform: 183
toilets:disposal,flush: 183
waste,trash: 183
operator,Telstra: 182
smoking,no: 178
sport,cricket_nets: 177
addr:postcode,6000: 172
public_transport,station: 172
leisure,sports_centre: 167
tourism,attraction: 166
railway,stop: 166
addr:city,Perth: 162
amenity,vending_machine: 155
sport,australian_football: 154
artwork_type,sculpture: 153
leisure,fitness_centre: 152
tourism,chalet: 151
amenity,bar: 151
amenity,atm: 151
created_by,Potlatch 0.9c: 150
amenity,post_office: 150
hiking,yes: 150
operator:wikidata,Q721162: 149
informal,no: 145
railway,station: 144
shop,convenience: 143
denomination,catholic: 142
amenity,bank: 141
shop,bakery: 141
shop,mall: 139
leisure,outdoor_seating: 136
amenity,shower: 135
tourism,hotel: 133
shop,yes: 133
bicycle_parking,wall_loops: 132
leisure,fitness_station: 132
mtb,yes: 131
sport,fitness: 130
building,retail: 128
sport,golf: 127
surface,unpaved: 127
surface,sand: 127
horse,yes: 127
name,Heritage Trail: 125
tourism,camp_site: 122
cuisine,chicken: 122
male,yes: 118
healthcare,clinic: 117
wheelchair,no: 116
source,bing: 116
female,yes: 116
capacity,3: 116
operator,City of Canning: 115
amenity,clinic: 115
healthcare,doctor: 113
amenity,doctors: 112
cuisine,coffee_shop: 112
building:levels,1: 112
building,house: 112
leisure,track: 111
operator,City of Wanneroo: 111
cuisine,pizza: 111
shop,beauty: 111
capacity,5: 110
payment:visa,yes: 107
seats,4: 107
access,permissive: 106
shop,car_repair: 106
area,yes: 104
payment:mastercard,yes: 104
drive_through,yes: 104
amenity,library: 102
brand,Australia Post: 102
amenity,water_point: 102
golf,green: 101
addr:housenumber,1: 100
amenity,dentist: 100
healthcare,dentist: 100
operator,Coles Group: 99
operator:wikidata,Q1339055: 99
building,commercial: 99
tourism,apartment: 99
capacity,10: 98
unisex,yes: 97
colour,green: 97
supervised,no: 96
source,survey: 96
amenity,parking_entrance: 96
operator:wikidata,Q585453: 95
sport,athletics: 95
amenity,fire_station: 95
hgv,yes: 94
addr:postcode,6008: 93
internet_access,wlan: 93
addr:postcode,6003: 93
amenity,fountain: 93
seats,2: 93
addr:postcode,6155: 92
shop,bicycle: 92
